Iteration	bike_travel	bike_wait	car_travel	car_wait	car_passenger_travel	car_passenger_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	376	0	25120	0	618	0	3657	0	0	0	8093	0
1	383	0	25645	0	624	0	3676	0	0	0	7847	0
2	387	0	26283	0	633	0	3655	0	0	0	7708	0
3	413	0	26700	0	643	0	3679	0	0	0	7506	0
4	382	0	27011	0	648	0	3702	0	0	0	7434	0
5	368	0	27813	0	648	0	3677	0	0	0	7323	0
6	375	0	28045	0	658	0	3681	0	0	0	7184	0
7	374	0	28573	0	660	0	3680	0	0	0	7105	0
8	392	0	28633	0	672	0	3691	0	0	0	6959	0
9	386	0	29119	0	673	0	3691	0	0	0	6886	0
10	405	0	29647	0	678	0	3649	0	0	0	6777	0
11	412	0	29720	0	686	0	3668	0	0	0	6671	0
12	402	0	30082	0	694	0	3653	0	0	0	6551	0
13	412	0	30475	0	699	0	3633	0	0	0	6468	0
14	412	0	30975	0	704	0	3648	0	0	0	6377	0
15	405	0	30919	0	703	0	3659	0	0	0	6240	0
16	401	0	31327	0	712	0	3668	0	0	0	6171	0
17	403	0	31733	0	709	0	3647	0	0	0	6064	0
18	398	0	31923	0	715	0	3654	0	0	0	5982	0
19	397	0	31857	0	713	0	3647	0	0	0	5908	0
20	395	0	32211	0	720	0	3662	0	0	0	5800	0
21	393	0	32198	0	721	0	3653	0	0	0	5770	0
22	384	0	32435	0	721	0	3670	0	0	0	5693	0
23	381	0	32773	0	723	0	3663	0	0	0	5610	0
24	387	0	32712	0	728	0	3664	0	0	0	5547	0
25	392	0	33109	0	728	0	3656	0	0	0	5487	0
26	378	0	33359	0	732	0	3652	0	0	0	5418	0
27	396	0	33299	0	724	0	3662	0	0	0	5385	0
28	394	0	33587	0	725	0	3649	0	0	0	5363	0
29	395	0	33619	0	733	0	3662	0	0	0	5308	0
30	396	0	33648	0	733	0	3672	0	0	0	5254	0
31	396	0	34003	0	736	0	3669	0	0	0	5222	0
32	396	0	33997	0	739	0	3675	0	0	0	5188	0
33	396	0	34016	0	739	0	3678	0	0	0	5130	0
34	396	0	34120	0	739	0	3702	0	0	0	5107	0
35	392	0	33836	0	738	0	3700	0	0	0	5054	0
36	395	0	34022	0	736	0	3690	0	0	0	5014	0
37	394	0	34214	0	736	0	3686	0	0	0	4972	0
38	395	0	34385	0	737	0	3673	0	0	0	4936	0
39	394	0	34459	0	742	0	3664	0	0	0	4932	0
40	396	0	34823	0	744	0	3650	0	0	0	4916	0
41	396	0	34472	0	746	0	3651	0	0	0	4865	0
42	397	0	34328	0	748	0	3655	0	0	0	4847	0
43	393	0	34635	0	745	0	3655	0	0	0	4840	0
44	395	0	34533	0	746	0	3639	0	0	0	4822	0
45	401	0	34708	0	745	0	3650	0	0	0	4811	0
46	403	0	34285	0	739	0	3659	0	0	0	4804	0
47	406	0	34628	0	738	0	3663	0	0	0	4786	0
48	412	0	34988	0	741	0	3661	0	0	0	4770	0
49	415	0	34586	0	742	0	3663	0	0	0	4757	0
50	412	0	34778	0	744	0	3666	0	0	0	4753	0
51	409	0	34688	0	743	0	3669	0	0	0	4745	0
52	409	0	34878	0	745	0	3671	0	0	0	4730	0
53	411	0	34903	0	750	0	3677	0	0	0	4730	0
54	414	0	34984	0	749	0	3673	0	0	0	4710	0
55	414	0	34983	0	754	0	3667	0	0	0	4677	0
56	416	0	34904	0	750	0	3672	0	0	0	4680	0
57	420	0	35078	0	751	0	3673	0	0	0	4676	0
58	421	0	35050	0	757	0	3666	0	0	0	4643	0
59	417	0	34953	0	752	0	3669	0	0	0	4644	0
60	421	0	34857	0	754	0	3665	0	0	0	4637	0
