Iteration	bike	car	car_passenger	pt	walk
0	4199	94176	32637	84588	34705
1	4276	96301	32751	84995	33640
2	4323	99450	32816	84215	33039
3	4605	101791	32730	85018	32164
4	4262	103338	32738	85284	31851
5	4112	105031	32790	84751	31377
6	4182	105769	32858	84629	30774
7	4172	107331	32900	84500	30435
8	4377	107839	32995	85165	29805
9	4311	109195	33027	84955	29489
10	4520	111051	33107	84116	29026
11	4594	111596	33175	84486	28566
12	4492	112321	33428	84435	28049
13	4602	113767	33417	84022	27689
14	4599	113702	33516	84165	27297
15	4520	114584	33672	84215	26705
16	4479	115602	33665	84540	26407
17	4501	117173	33738	83651	25953
18	4444	118000	33631	83531	25599
19	4428	118142	33839	83160	25277
20	4407	119190	33784	83872	24813
21	4384	119393	33785	83909	24685
22	4287	119739	33801	84396	24349
23	4251	120213	33893	84461	23996
24	4318	119676	33968	84432	23721
25	4378	120819	33879	84060	23462
26	4221	121630	34078	84241	23165
27	4421	121435	34008	84375	23022
28	4394	122483	33930	84251	22925
29	4411	122117	33958	84333	22688
30	4415	122174	34087	84401	22455
31	4416	123134	34089	84391	22313
32	4424	123808	34162	84703	22165
33	4425	123153	34158	84631	21912
34	4419	123475	34169	85029	21816
35	4378	123443	34210	85041	21587
36	4415	124067	34082	84775	21414
37	4394	123681	34159	84756	21232
38	4408	123915	34117	84161	21079
39	4399	124212	34175	84143	21064
40	4424	124903	34077	83578	20994
41	4419	124248	34166	83798	20775
42	4428	124239	34166	83756	20699
43	4392	123884	34027	83721	20665
44	4411	124227	33968	83683	20587
45	4474	124419	33970	83828	20540
46	4502	124971	33938	83809	20508
47	4528	124968	34021	83892	20433
48	4597	124604	34127	84085	20362
49	4636	124347	34102	84280	20306
50	4603	124187	34124	84596	20291
51	4564	124708	34094	84324	20256
52	4565	124869	34149	84475	20190
53	4584	124991	34197	84193	20191
54	4621	125308	34151	84201	20106
55	4624	125309	34211	84081	19961
56	4646	125085	34200	84055	19974
57	4688	125236	34237	84066	19959
58	4698	125241	34293	84112	19818
59	4658	125538	34219	84180	19819
60	4703	125070	34304	84106	19792
