ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-40.186831220554005	-40.186831220554005	-40.186831220554005	-40.186831220554005
1	-38.858267750096324	-40.17742630479033	-39.397948942693844	-38.61847158059732
2	-37.04559538213354	-38.39520878017934	-37.59948036398468	-36.803751947790076
3	-35.642645625951104	-36.84839444811104	-36.12714474600832	-35.405895043905566
4	-34.66427796568227	-35.90792984289357	-35.13024515802312	-34.35256047315261
5	-34.82507527635703	-35.63166575005956	-35.047712561183495	-34.46375937230747
6	-33.979044207959674	-35.220741420557545	-34.44326191818353	-33.66578241580951
7	-33.41032949733275	-34.37134266897658	-33.80454277346979	-33.237742877963
8	-33.05020479293828	-34.110836381051705	-33.49783417202864	-32.8848319630056
9	-32.54936724321246	-33.17949588901714	-32.707609809528996	-32.23572373004083
10	-32.76063438376498	-33.643168985682514	-32.91492623604457	-32.18668348640666
11	-32.51112488313261	-33.4334576023392	-32.74448519908705	-32.05551279583498
12	-32.92182345230887	-33.772216447597536	-33.04513489019038	-32.3180533327833
13	-32.94687469064513	-33.94205026673269	-33.125675837320614	-32.3093014079085
14	-32.91109362683098	-33.725092004436476	-33.07125191341738	-32.41741182239827
15	-32.53898146620463	-33.42121251077008	-32.611616700122745	-31.802020889475482
16	-32.10480070670399	-32.88302432216899	-32.25116901776382	-31.61931371335859
17	-32.66232236154652	-33.15014409063411	-32.55147458019394	-31.95280506975377
18	-32.45807198573762	-32.99262649177809	-32.465845295055864	-31.939064098333628
19	-33.692853764505266	-34.19160930997817	-33.63996477937264	-33.088320248767126
20	-33.14458397495826	-34.170319689636834	-33.41349309794862	-32.65666650626038
21	-33.06907635795329	-33.81884386056562	-33.14762771773991	-32.47641157491418
22	-33.08284608792088	-33.695188339841195	-33.21154282159154	-32.727897303341855
23	-32.71127536710114	-33.4528921245119	-32.72483377330473	-31.99677542209749
24	-33.9137092338998	-34.55657319565896	-34.026075901941375	-33.495578608223816
25	-34.29768137362731	-34.89050113200969	-34.38232897257505	-33.87415681314042
26	-33.0640462703258	-34.337536160149625	-33.3496651176007	-32.36179407505179
27	-33.87777867146965	-34.76607387394822	-34.14987315303672	-33.53367243212521
28	-32.50862765586882	-33.32100082036315	-32.742471000843075	-32.163941181323004
29	-33.3282160992868	-34.07030889658831	-33.455552679700745	-32.84079646281318
30	-33.148925965645496	-33.74633872756599	-33.23714964985606	-32.72796057214606
31	-33.53186194980657	-34.16662546517808	-33.51805743460004	-32.869489404022005
32	-32.852265302755306	-33.7388069213001	-33.07209507736161	-32.405383233423116
33	-32.24348489431506	-32.915110015765514	-32.40631983400231	-31.897529652239133
34	-32.64413339382924	-33.11108031311287	-32.68799177115974	-32.26490322920662
35	-33.43541144200618	-34.06886883810874	-33.54446913554776	-33.02006943298673
36	-32.270686401217084	-32.89870808814077	-32.41654323406464	-31.934378379988527
37	-33.316095666281605	-33.80239523180983	-33.29650024519229	-32.79060525857477
38	-34.21728817210214	-34.66933869090173	-34.08767888733064	-33.50601908375949
39	-33.79503737465392	-34.39516320189182	-33.882803007387785	-33.370442812883766
40	-34.072353067883924	-34.95872644319788	-34.27092131615615	-33.58311618911438
41	-35.07289079543156	-35.71368306476743	-35.186133854424384	-34.65858464408141
42	-34.632477313974476	-35.51583644979734	-34.77908814781194	-34.04233984582658
43	-34.58538009404377	-35.17997731397447	-34.60090809409874	-34.02183887422306
44	-34.61005061962631	-35.11031920841802	-34.52772227721858	-33.94512534601909
45	-34.624871835414005	-35.36707730664172	-34.7543243803736	-34.14157145410547
46	-34.73233597316167	-35.415676685182035	-34.84806365607062	-34.2804506269592
47	-34.61721633302152	-35.10463156978111	-34.70245701112743	-34.30028245247374
48	-33.7195045738693	-34.49264748208024	-33.94963048131031	-33.406613480540365
49	-35.21822402793806	-36.13704456085344	-35.31138000925764	-34.485715457661804
50	-34.984438165685695	-35.72904695778095	-35.09677106821372	-34.46449517864649
51	-35.08325258024897	-35.81999145263896	-35.13446113815103	-34.44893082366315
52	-34.171266430181994	-35.308905456561966	-34.60186500898271	-33.89482456140343
53	-34.1743582375478	-35.16506998295101	-34.405882360354816	-33.646694737758615
54	-34.64273618673114	-35.38435402115523	-34.7890226562356	-34.19369129131598
55	-34.746674434911625	-35.59022369795954	-34.85269705906604	-34.11517042017253
56	-34.02784347559075	-34.52661700947772	-34.016216417807804	-33.505815826137955
57	-33.97116049331785	-34.49552134319597	-34.01962986260048	-33.54373838200511
58	-34.928272195640496	-35.45928671927978	-34.89698689481006	-34.334687070340294
59	-34.919967964582106	-35.66595285889731	-35.06541796137399	-34.46488306385066
60	-34.519584410346575	-35.08175252983549	-34.5729610075344	-34.064169485233364
