Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	09:33:45	09:33:45	09:33:45			09:33:45	09:33:45	09:33:52	09:33:52	09:33:52	09:33:54	09:33:54	09:35:47	09:35:47	09:35:48	09:35:48	09:35:49	09:35:49			09:35:56	09:35:56		00:00:00		00:00:06	00:00:06	00:00:02	00:01:52	00:00:01	00:00:00		00:00:07	00:02:10
1	09:35:56	09:35:56	09:35:56	09:35:56	09:37:33	09:37:33	09:37:38	09:37:48	09:37:48	09:37:48	09:37:54	09:37:54	09:39:47	09:39:47	09:39:47	09:39:47	09:39:48	09:39:48			09:39:50	09:39:50		00:00:00	00:01:37	00:00:09	00:00:14	00:00:05	00:01:53	00:00:00	00:00:00		00:00:02	00:03:54
2	09:39:50	09:39:50	09:39:50	09:39:50	09:41:37	09:41:37			09:41:43	09:41:43	09:41:54	09:41:54	09:43:32	09:43:32	09:43:32	09:43:32	09:43:32	09:43:32			09:43:34	09:43:34		00:00:00	00:01:47		00:00:05	00:00:10	00:01:38	00:00:00	00:00:00		00:00:01	00:03:43
3	09:43:34	09:43:34	09:43:34	09:43:34	09:45:52	09:45:52			09:45:56	09:45:56	09:46:11	09:46:11	09:48:33	09:48:33	09:48:33	09:48:33	09:48:34	09:48:34			09:48:38	09:48:38		00:00:00	00:02:17		00:00:03	00:00:15	00:02:21	00:00:00	00:00:00		00:00:04	00:05:03
4	09:48:38	09:48:38	09:48:38	09:48:38	09:50:35	09:50:35			09:50:39	09:50:39	09:50:51	09:50:51	09:52:20	09:52:20	09:52:20	09:52:20	09:52:20	09:52:20			09:52:23	09:52:23		00:00:00	00:01:56		00:00:04	00:00:12	00:01:28	00:00:00	00:00:00		00:00:02	00:03:44
5	09:52:23	09:52:23	09:52:23	09:52:23	09:54:44	09:54:44			09:54:49	09:54:49	09:54:59	09:54:59	09:56:48	09:56:48	09:56:49	09:56:49	09:56:50	09:56:50			09:56:54	09:56:54		00:00:00	00:02:20		00:00:05	00:00:09	00:01:49	00:00:00	00:00:00		00:00:04	00:04:31
6	09:56:54	09:56:54	09:56:54	09:56:54	09:58:56	09:58:56			09:58:59	09:58:59	09:59:10	09:59:10	10:00:58	10:00:58	10:00:58	10:00:58	10:00:59	10:00:59			10:01:31	10:01:31		00:00:00	00:02:01		00:00:03	00:00:10	00:01:47	00:00:00	00:00:00		00:00:31	00:04:36
7	10:01:31	10:01:31	10:01:31	10:01:31	10:03:39	10:03:39			10:03:42	10:03:42	10:03:51	10:03:51	10:05:50	10:05:50	10:05:50	10:05:50	10:05:51	10:05:51			10:06:08	10:06:08		00:00:00	00:02:07		00:00:02	00:00:09	00:01:58	00:00:00	00:00:00		00:00:17	00:04:36
8	10:06:08	10:06:08	10:06:08	10:06:08	10:07:56	10:07:56			10:08:02	10:08:02	10:08:09	10:08:09	10:10:41	10:10:41	10:10:41	10:10:41	10:10:41	10:10:41			10:11:07	10:11:07		00:00:00	00:01:47		00:00:05	00:00:07	00:02:31	00:00:00	00:00:00		00:00:25	00:04:58
9	10:11:07	10:11:07	10:11:08	10:11:08	10:13:28	10:13:28			10:13:32	10:13:32	10:13:41	10:13:41	10:16:29	10:16:29	10:16:30	10:16:30	10:16:30	10:16:30			10:16:56	10:16:56		00:00:00	00:02:19		00:00:04	00:00:08	00:02:47	00:00:00	00:00:00		00:00:25	00:05:48
10	10:16:57	10:16:57	10:16:57	10:16:57	10:18:50	10:18:50			10:18:56	10:18:56	10:19:13	10:19:13	10:22:22	10:22:22	10:22:23	10:22:23	10:22:23	10:22:23	10:22:23	10:22:23	10:23:30	10:23:30		00:00:00	00:01:52		00:00:06	00:00:16	00:03:09	00:00:00	00:00:00	00:00:00	00:01:06	00:06:32
11	10:23:30	10:23:30	10:23:39	10:23:39	10:25:30	10:25:30			10:25:35	10:25:35	10:25:47	10:25:47	10:27:47	10:27:47	10:27:47	10:27:47	10:27:47	10:27:47			10:27:49	10:27:49		00:00:08	00:01:51		00:00:04	00:00:12	00:01:59	00:00:00	00:00:00		00:00:01	00:04:18
12	10:27:49	10:27:49	10:27:49	10:27:49	10:30:08	10:30:08			10:30:12	10:30:12	10:30:22	10:30:22	10:32:33	10:32:33	10:32:33	10:32:33	10:32:34	10:32:34			10:32:35	10:32:35		00:00:00	00:02:19		00:00:04	00:00:09	00:02:11	00:00:00	00:00:00		00:00:01	00:04:46
13	10:32:35	10:32:35	10:32:35	10:32:35	10:34:21	10:34:22			10:34:26	10:34:26	10:34:34	10:34:34	10:36:59	10:36:59	10:36:59	10:36:59	10:36:59	10:36:59			10:37:01	10:37:01		00:00:00	00:01:46		00:00:04	00:00:08	00:02:24	00:00:00	00:00:00		00:00:01	00:04:25
14	10:37:01	10:37:01	10:37:01	10:37:01	10:39:54	10:39:54			10:39:59	10:39:59	10:40:09	10:40:09	10:41:43	10:41:43	10:41:43	10:41:43	10:41:43	10:41:43			10:41:44	10:41:44		00:00:00	00:02:53		00:00:05	00:00:09	00:01:33	00:00:00	00:00:00		00:00:01	00:04:43
15	10:41:44	10:41:44	10:41:44	10:41:44	10:43:52	10:43:52			10:43:59	10:43:59	10:44:14	10:44:14	10:46:11	10:46:11	10:46:11	10:46:11	10:46:11	10:46:11			10:46:13	10:46:13		00:00:00	00:02:07		00:00:06	00:00:15	00:01:57	00:00:00	00:00:00		00:00:01	00:04:28
16	10:46:13	10:46:13	10:46:13	10:46:13	10:48:03	10:48:03			10:48:07	10:48:07	10:48:15	10:48:15	10:50:30	10:50:30	10:50:30	10:50:30	10:50:30	10:50:30			10:50:45	10:50:45		00:00:00	00:01:49		00:00:04	00:00:08	00:02:14	00:00:00	00:00:00		00:00:14	00:04:32
